ID,virus,device_id,deposition_rate,temperature,humidity,flow_rate,time_to_detection,mass_of_virus_fg,required_virus_count
40,Human Coronavirus OC43,Device-5,0.41,33,31,1.45,18,0.00015,3333333.333
41,Human Coronavirus HKU1,Device‑1,0.32,26,26,1.66,12,0.00015,800000.0
42,Influenza C,Device‑2,0.45,27,25,1.5,14.5,0.00009,13666.66667
43,Influenza D,Device‑3,0.25,23,33,1.3,15,0.00009,10000000.0
44,Human Parechovirus,Device-4,0.35,22,26,1.7,15,0.00003,30000000.0
45,Human Polyomavirus,Device-5,0.27,31,37,1.2,16,0.00003,16666666.67
46,Human Mastadenovirus C,Device‑1,0.45,24,35,1.6,18,0.00012,1000000.0
47,Human Mastadenovirus B,Device‑2,0.35,31,32,1.1,14,0.00006,20500.0
48,Human Mastadenovirus E,Device‑3,0.43,26,38,1.4,13,0.0001,9000000.0
49,Human Astrovirus,Device-4,0.45,31,31,1.25,18,0.00003,30000000.0
50,Norovirus GII,Device-5,0.3,20,36,1.43,19,0.00003,16666666.67
51,Norovirus GI,Device‑1,0.3,25,39,1.33,20,0.00003,4000000.0
52,Rotavirus A,Device‑2,0.35,21,32,1.45,14,0.0001,12300.0
53,Rotavirus B,Device‑3,0.37,33,35,1.66,11,0.00009,10000000.0
54,Rotavirus C,Device-4,0.36,26,30,1.2,15,0.00008,11250000.0
55,Human Reovirus,Device-5,0.32,27,27,1.0,16,0.00005,10000000.0
56,Human Orthopneumovirus,Device‑1,-0.41,23,29,1.45,15,0.00007,1714285.714
57,Human Respirovirus,Device‑2,0.27,22,26,1.66,15,0.000075,16400.0
58,Human Rubulavirus,Device‑3,0.42,31,20,1.2,16,0.000075,12000000.0
59,Human Morbillivirus,Device-4,0.36,24,25,1.5,17,0.00008,11250000.0
60,Human Alphavirus,Device-5,0.42,31,21,1.4,13,0.00005,10000000.0
61,Human Betacoronavirus,Device‑1,0.36,26,33,1.25,12,0.00015,800000.0
62,Human Gammacoronavirus,Device‑2,0.41,31,26,1.43,18,0.00015,8200.0
63,Human Deltacoronavirus,Device‑3,0.25,20,27,1.33,17,0.00015,6000000.0
64,Avian Influenza H5N1,Device-4,0.35,25,23,1.45,18,0.000084,10714285.71
65,Avian Influenza H7N9,Device-5,0.27,21,22,1.66,12,0.000084,5952380.952
66,Avian Influenza H9N2,Device‑1,0.37,33,31,1.5,14.5,0.000084,1428571.429
67,Canine Influenza H3N8,Device‑2,0.33,26,24,1.3,15,0.000084,14642.85714
68,Swine Influenza H1N2,Device‑3,0.29,27,31,1.7,15,0.000084,10714285.71
69,Swine Influenza H3N2,Device-4,0.45,23,26,1.2,16,0.000084,10714285.71
70,Human Enterovirus C,Device-5,0.41,22,22,1.6,15,0.00003,16666666.67
71,Human Enterovirus B,Device‑1,0.32,31,31,1.1,14,0.00003,4000000.0
72,Human Enterovirus A,Device‑2,0.45,24,24,1.4,13,0.00003,41000.0
73,Human Coxsackievirus A,Device‑3,0.25,31,31,1.25,18,0.00003,30000000.0
74,Human Coxsackievirus B,Device-4,0.35,26,26,1.43,19,0.00003,30000000.0
75,Human Echovirus,Device-5,0.27,25,25,1.33,20,0.00003,16666666.67
76,Human Parechovirus 3,Device‑1,0.45,33,33,1.45,14,0.00003,4000000.0
77,Human Orthobunyavirus,Device‑2,0.36,26,26,1.66,11,0.00009,13666.66667
78,Human Phlebovirus,Device‑3,0.41,27,37,1.5,15,0.0001,9000000.0
79,Human Arenavirus,Device-4,0.25,23,35,1.4,16,0.00006,15000000.0
80,Human Bornavirus,Device-5,0.35,22,32,1.25,16,0.00009,5555555.556
81,Human Torovirus,Device‑1,0.27,31,38,1.43,18,0.00015,800000.0
82,Human Hepatitis A (airborne rare),Device‑2,0.37,24,31,1.33,14,0.00003,41000.0
83,Human Hepatitis E (airborne rare),Device‑3,0.33,31,25,1.45,13,0.00008,11250000.0
84,Human Polyomavirus KI,Device-4,0.29,26,21,1.25,18,0.00003,30000000.0
85,Human Polyomavirus WU,Device-5,0.45,31,33,1.43,19,0.00003,16666666.67
86,Human Parvovirus B19,Device‑1,0.41,20,26,1.33,20,0.00003,4000000.0
87,Human Torque Teno Virus,Device‑2,0.32,25,27,1.45,14,0.00002,61500.0
88,Human Sapovirus,Device‑3,0.45,21,23,1.66,11,0.00003,30000000.0
89,Human Aichivirus,Device-4,0.37,33,22,1.5,15,0.00003,30000000.0
90,Human Cardiovirus,Device-5,0.33,26,22,1.3,16,0.00003,16666666.67
91,Human Kobuvirus,Device‑1,0.29,25,31,1.7,17,0.00003,4000000.0
92,Human Salivirus,Device‑2,0.45,33,24,1.2,13,0.00003,41000.0
93,Human Cosavirus,Device‑3,0.41,26,31,1.6,12,0.00003,30000000.0
94,Human Orthoreovirus 3,Device-4,0.32,27,26,1.1,18,0.00005,18000000.0
95,Human Rotavirus H,Device-5,0.45,23,25,1.8,19,0.0001,5000000.0
96,Human Astrovirus MLB,Device‑1,0.25,22,33,1.5,20,0.00003,4000000.0
97,Human Astrovirus VA,Device‑2,0.35,31,26,1.4,14,0.00003,41000.0
98,Human Adenovirus 14,Device‑3,0.27,24,37,1.25,11,0.00012,7500000.0
100,Human Adenovirus 55,Device-4,0.45,31,35,1.43,15,0.00012,7500000.0
